"X.";"Выручка.руб";"Прибыль.руб";"Реализация, конт.";"Списание, конт.";"sd";"Продажи макс";"День";"Продажи мин";" День";"Списание макс";"  День"
"Магазин 1";26680600;23785960;22326;1478;78.591;"1170";"2";"1043";"12";"181";"14"
"Магазин 2";27003200;24094000;22613;1412;94.33;"1207";"1";"1066";"15";"176";"20"
"Магазин 3";26757600;23889260;22379;1282;94.101;"1213";"8";"1034";"9";"143";"7"
"Магазин 4";27458000;24594860;23005;773;104.224;"1240";"17";"1038";"15";"102";"7"
"Магазин 5";26752300;23930470;22397;1007;89.403;"1214";"5";"1022";"11";"149";"11"
"Магазин 6";26645600;23706800;22307;1821;86.745;"1214";"16";"1054";"20";"210";"10"
"Магазин 7";27059300;24199950;22688;977;89.576;"1224";"1";"1043";"10";"132";"3"
"Магазин 8";26815100;23872910;22464;1770;99.028;"1218";"9";"1043";"4";"295";"5"
"Магазин 9";26636400;23697380;22316;1831;96.118;"1231";"20";"1054";"16";"210";"12"
"Магазин 10";26857600;23979280;22460;1311;90.677;"1189";"19";"1057";"4";"179";"9"
"Итого";268665700;239750870;224955;13662;922.793;"";"";"";"";"";""
"Среднее";26866570;23975087;22495.5;1366.2;92.2793;"";"";"";"";"";""
